Class,crop_planet_1,crop_planet_2,crop_planet_3,crop_planet_4,crop_planet_5,crop_planet_6,crop_planet_7,crop_planet_8
"4","710.00000","1006.00000","1009.00000","1133.00000","1230.00000","1287.00000","1434.00000","2312.00000"
"4","451.00000","696.00000","766.00000","902.00000","1032.00000","983.00000","1214.00000","2260.00000"
"4","478.00000","752.00000","849.00000","985.00000","1146.00000","1102.00000","1252.00000","2108.00000"
"4","823.00000","1239.00000","1183.00000","1256.00000","1379.00000","1528.00000","1673.00000","2562.00000"
"4","384.00000","565.00000","620.00000","710.00000","790.00000","734.00000","840.00000","1734.00000"
"4","724.00000","973.00000","1043.00000","1171.00000","1360.00000","1397.00000","1700.00000","2447.00000"
"4","505.00000","759.00000","823.00000","998.00000","1274.00000","1201.00000","1389.00000","2408.00000"
"4","513.00000","712.00000","749.00000","932.00000","1109.00000","1127.00000","1331.00000","2355.00000"
"4","492.00000","693.00000","804.00000","943.00000","1058.00000","1112.00000","1278.00000","2292.00000"
"4","514.00000","702.00000","790.00000","947.00000","1163.00000","1248.00000","1362.00000","2292.00000"
"4","394.00000","638.00000","762.00000","900.00000","1093.00000","1114.00000","1326.00000","2315.00000"
"4","435.00000","675.00000","755.00000","902.00000","1086.00000","1127.00000","1272.00000","2244.00000"
"4","489.00000","711.00000","820.00000","947.00000","1119.00000","1190.00000","1222.00000","2235.00000"
"4","329.00000","527.00000","605.00000","737.00000","883.00000","970.00000","1237.00000","2301.00000"
"4","432.00000","549.00000","615.00000","796.00000","933.00000","951.00000","1133.00000","2109.00000"
"4","286.00000","489.00000","558.00000","677.00000","838.00000","893.00000","1068.00000","2188.00000"
"4","289.00000","548.00000","618.00000","761.00000","913.00000","965.00000","1172.00000","2275.00000"
"4","661.00000","855.00000","872.00000","1025.00000","1266.00000","1405.00000","1545.00000","2691.00000"
"4","364.00000","562.00000","584.00000","744.00000","969.00000","1010.00000","1166.00000","2078.00000"
"4","389.00000","615.00000","742.00000","910.00000","1170.00000","1143.00000","1370.00000","2324.00000"
"4","554.00000","802.00000","834.00000","931.00000","1080.00000","1164.00000","1233.00000","2267.00000"
"4","486.00000","707.00000","794.00000","924.00000","1060.00000","1214.00000","1311.00000","2260.00000"
"4","439.00000","577.00000","672.00000","820.00000","963.00000","1019.00000","1190.00000","2196.00000"
"4","451.00000","616.00000","746.00000","868.00000","1002.00000","997.00000","1233.00000","2375.00000"
"4","638.00000","844.00000","889.00000","1032.00000","1170.00000","1220.00000","1403.00000","2439.00000"
"4","308.00000","531.00000","584.00000","711.00000","870.00000","913.00000","1145.00000","1951.00000"
"4","476.00000","700.00000","745.00000","927.00000","1111.00000","1220.00000","1353.00000","2588.00000"
"4","351.00000","550.00000","605.00000","805.00000","946.00000","976.00000","1173.00000","2292.00000"
"4","390.00000","483.00000","617.00000","721.00000","895.00000","942.00000","1056.00000","2107.00000"
"4","580.00000","783.00000","835.00000","944.00000","1094.00000","1203.00000","1285.00000","2193.00000"
"4","372.00000","587.00000","639.00000","804.00000","916.00000","1041.00000","1132.00000","2306.00000"
"4","378.00000","578.00000","633.00000","776.00000","912.00000","897.00000","1048.00000","1918.00000"
"4","415.00000","625.00000","732.00000","874.00000","976.00000","1042.00000","1304.00000","2607.00000"
"4","515.00000","751.00000","723.00000","855.00000","985.00000","1090.00000","1231.00000","2243.00000"
"4","783.00000","915.00000","938.00000","1067.00000","1225.00000","1316.00000","1530.00000","2805.00000"
"4","528.00000","635.00000","712.00000","864.00000","1018.00000","1034.00000","1158.00000","2077.00000"
"4","532.00000","749.00000","824.00000","916.00000","1087.00000","1032.00000","1193.00000","2360.00000"
"4","553.00000","769.00000","891.00000","1046.00000","1226.00000","1290.00000","1250.00000","2386.00000"
"4","690.00000","1040.00000","1084.00000","1195.00000","1373.00000","1390.00000","1566.00000","2455.00000"
"4","684.00000","743.00000","867.00000","1022.00000","1202.00000","1197.00000","1347.00000","2444.00000"
"4","325.00000","591.00000","670.00000","831.00000","1111.00000","1185.00000","1346.00000","2390.00000"
"4","290.00000","546.00000","639.00000","839.00000","1037.00000","1102.00000","1268.00000","2292.00000"
"4","402.00000","609.00000","699.00000","877.00000","1001.00000","1062.00000","1264.00000","2248.00000"
